back_team,countrie,datetime,event_link,home_team,status,timestamp
Chelsea,Europa - Super Copa da UEFA,14/08/19 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/europa/super-copa-da-uefa/liverpool/chelsea/3023406,Liverpool,Terminado,1565798400
Avan Academy,Europa - Liga Europa,14/08/19 10:00:00,https://www.academiadasapostasbrasil.com/stats/match/europa/liga-europa/saburtalo/ararat-armenia/3093843,Saburtalo,Terminado,1565787600
Ventspils,Europa - Liga Europa,14/08/19 10:00:00,https://www.academiadasapostasbrasil.com/stats/match/europa/liga-europa/vitoria-de-guimaraes/ventspils/3095071,Guimarães,Terminado,1565787600
Legia,Europa - Liga Europa,14/08/19 10:00:00,https://www.academiadasapostasbrasil.com/stats/match/europa/liga-europa/atromitos-athens/legia-varsovia/3095085,Atromitos,Terminado,1565787600
Atlético PR,Brasil - Copa do Brasil,14/08/19 18:30:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/copa-do-brasil/gremio/atletico-pr/3099946,Grêmio,Terminado,1565818200
North Shields,Inglaterra - Copa FA,14/08/19 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/copa-fa/guisborough-town/north-shields/3130749,Guisborough,Terminado,1565797500
Nostell ,Inglaterra - Copa FA,14/08/19 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/copa-fa/stockton-town/nostell-mw/3130750,Stockton Town,Terminado,1565797500
Skelmersdale,Inglaterra - Copa FA,14/08/19 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/copa-fa/penistone-church/skelmersdale-united/3130751,Penistone Church,Terminado,1565797500
Coventry S,Inglaterra - Copa FA,14/08/19 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/copa-fa/coventry-united/coventry-sphinx/3130752,Coventry United,Terminado,1565797500
Woodford Town,Inglaterra - Copa FA,14/08/19 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/copa-fa/white-ensign/woodford-town/3130753,White Ensign,Terminado,1565797500
Wantage,Inglaterra - Copa FA,14/08/19 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/copa-fa/brackley-town-saints/wantage-town-/3130754,Brackley Town Saints,Terminado,1565797500
Alresford,Inglaterra - Copa FA,14/08/19 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/copa-fa/baffins-milton-rovers/alresford-town/3130755,Baffins Milton Rovers,Terminado,1565797500
Southend M,Inglaterra - Copa FA,14/08/19 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/copa-fa/long-melford-/southend-manor/3130759,Long Melford ,Terminado,1565797500
Kirkley,Inglaterra - Copa FA,14/08/19 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/copa-fa/wroxham/kirkley-pakefield/3132366,Wroxham,Terminado,1565797500
Sporting KC,Estados Unidos - Major League Soccer,14/08/19 17:30:00,https://www.academiadasapostasbrasil.com/stats/match/estados-unidos/major-league-soccer/orlando-city/kansas-city-wizards/2960113,Orlando,Terminado,1565814600
Colorado,Estados Unidos - Major League Soccer,14/08/19 18:00:00,https://www.academiadasapostasbrasil.com/stats/match/estados-unidos/major-league-soccer/minnesota-united/colorado-rapids/2960112,Minnesota,Terminado,1565816400
Sounders,Estados Unidos - Major League Soccer,14/08/19 20:00:00,https://www.academiadasapostasbrasil.com/stats/match/estados-unidos/major-league-soccer/real-salt-lake/seattle-sounders/2960115,Salt Lake,Terminado,1565823600
Dallas,Estados Unidos - Major League Soccer,14/08/19 20:30:00,https://www.academiadasapostasbrasil.com/stats/match/estados-unidos/major-league-soccer/los-angeles-galaxy/fc-dallas/2960111,Galaxy,Terminado,1565825400
Chicago,Estados Unidos - Major League Soccer,14/08/19 21:00:00,https://www.academiadasapostasbrasil.com/stats/match/estados-unidos/major-league-soccer/portland-timbers/chicago-fire/2960114,Portland,Terminado,1565827200
