back_team,countrie,datetime,event_link,home_team,status,timestamp
Stoke,Inglaterra - Barclays Premier League,01/04/18 06:30:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/barclays-premier-league/arsenal/stoke/2463104,Arsenal,Terminado,1522575000
Tottenham,Inglaterra - Barclays Premier League,01/04/18 09:00:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/barclays-premier-league/chelsea/tottenham/2463106,Chelsea,Terminado,1522584000
La Coruña,Espanha - Primera Division,01/04/18 12:45:00,https://www.academiadasapostasbrasil.com/stats/match/espanha/primera-division/atletico-de-madrid/deportivo-la-coruna/2529531,Atlético,Terminado,1522597500
River Plate,Argentina - Campeonato Argentino,01/04/18 08:00:00,https://www.academiadasapostasbrasil.com/stats/match/argentina/campeonato-argentino/defensa-y-justicia/river-plate/2565014,Def y Justicia,Terminado,1522580400
Arsenal,Argentina - Campeonato Argentino,01/04/18 10:15:00,https://www.academiadasapostasbrasil.com/stats/match/argentina/campeonato-argentino/chacarita-juniors/arsenal-de-sarandi/2565017,Chacarita,Terminado,1522588500
Rosario,Argentina - Campeonato Argentino,01/04/18 12:30:00,https://www.academiadasapostasbrasil.com/stats/match/argentina/campeonato-argentino/patronato/rosario-central/2565016,Patronato,Terminado,1522596600
Talleres,Argentina - Campeonato Argentino,01/04/18 14:45:00,https://www.academiadasapostasbrasil.com/stats/match/argentina/campeonato-argentino/boca-juniors/talleres/2565027,Boca,Terminado,1522604700
San Lorenzo,Argentina - Campeonato Argentino,01/04/18 17:00:00,https://www.academiadasapostasbrasil.com/stats/match/argentina/campeonato-argentino/lanus/san-lorenzo/2565020,Lanús,Terminado,1522612800
Cruz Azul,México - Primera Division,31/03/18 21:00:00,https://www.academiadasapostasbrasil.com/stats/match/mexico/primera-division/america-mexico/cruz-azul/2699901,América,Terminado,1522540800
Necaxa,México - Primera Division,01/04/18 11:00:00,https://www.academiadasapostasbrasil.com/stats/match/mexico/primera-division/pumas/necaxa/2699902,Pumas,Terminado,1522591200
Tijuana,México - Primera Division,01/04/18 17:30:00,https://www.academiadasapostasbrasil.com/stats/match/mexico/primera-division/veracruz/tijuana/2699903,Veracruz,Terminado,1522614600
Alavés,Espanha - Primera Division,01/04/18 04:00:00,https://www.academiadasapostasbrasil.com/stats/match/espanha/primera-division/espanyol/alaves/2529530,Espanyol,Terminado,1522566000
Valência,Espanha - Primera Division,01/04/18 08:15:00,https://www.academiadasapostasbrasil.com/stats/match/espanha/primera-division/leganes/valencia/2529532,Leganés,Terminado,1522581300
Real Sociedad,Espanha - Primera Division,01/04/18 10:30:00,https://www.academiadasapostasbrasil.com/stats/match/espanha/primera-division/eibar/real-sociedad/2529536,Eibar,Terminado,1522589400
Villarreal,Espanha - Primera Division,01/04/18 10:30:00,https://www.academiadasapostasbrasil.com/stats/match/espanha/primera-division/malaga/villarreal/2529538,Málaga,Terminado,1522589400
Frankfurt,Alemanha - Bundesliga,01/04/18 07:30:00,https://www.academiadasapostasbrasil.com/stats/match/alemanha/bundesliga/werder-bremen/eintracht-frankfurt/2480509,Bremen,Terminado,1522578600
M'gladbach,Alemanha - Bundesliga,01/04/18 10:00:00,https://www.academiadasapostasbrasil.com/stats/match/alemanha/bundesliga/mainz/borussia-monchengladbach/2480512,Mainz 05,Terminado,1522587600
Vasco,Brasil - Carioca 1ª Div,01/04/18 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/carioca-1-div/botafogo/vasco/2761305,Botafogo,Terminado,1522598400
Bordeaux,França - Ligue 1,01/04/18 07:00:00,https://www.academiadasapostasbrasil.com/stats/match/franca/ligue-1/guingamp/bordeaux/2465207,Guingamp,Terminado,1522576800
Montpellier,França - Ligue 1,01/04/18 09:00:00,https://www.academiadasapostasbrasil.com/stats/match/franca/ligue-1/caen/montpellier/2465205,Caen,Terminado,1522584000
Amiens,França - Ligue 1,01/04/18 09:00:00,https://www.academiadasapostasbrasil.com/stats/match/franca/ligue-1/lille/amiens/2465208,Lille,Terminado,1522584000
Saint-Étienne,França - Ligue 1,01/04/18 09:00:00,https://www.academiadasapostasbrasil.com/stats/match/franca/ligue-1/nantes/saint-etienne/2465210,Nantes,Terminado,1522584000
Metz,França - Ligue 1,01/04/18 09:00:00,https://www.academiadasapostasbrasil.com/stats/match/franca/ligue-1/strasbourg/metz/2465213,Strasbourg,Terminado,1522584000
Nice,França - Ligue 1,01/04/18 09:00:00,https://www.academiadasapostasbrasil.com/stats/match/franca/ligue-1/troyes/nice/2465214,Troyes,Terminado,1522584000
Toulouse,França - Ligue 1,01/04/18 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/franca/ligue-1/lyon/toulouse/2465209,Lyon,Terminado,1522598400
Uni Concepción,Chile - Primera Division,01/04/18 09:30:00,https://www.academiadasapostasbrasil.com/stats/match/chile/primera-division/deportes-iquique/univ-de-concepcion/2717959,Iquique,Terminado,1522585800
Antofagasta,Chile - Primera Division,01/04/18 12:00:00,https://www.academiadasapostasbrasil.com/stats/match/chile/primera-division/palestino/antofagasta/2717955,Palestino,Terminado,1522594800
Española,Chile - Primera Division,01/04/18 14:30:00,https://www.academiadasapostasbrasil.com/stats/match/chile/primera-division/union-la-calera/union-espanola/2717958,La Calera,Terminado,1522603800
Garcilaso,Peru - Primera Division,01/04/18 12:30:00,https://www.academiadasapostasbrasil.com/stats/match/peru/primera-division/deportivo-municipal/real-garcilaso/2716229,Municipal,Terminado,1522596600
Universitario,Peru - Primera Division,01/04/18 14:30:00,https://www.academiadasapostasbrasil.com/stats/match/peru/primera-division/utc-cajamarca/universitario-lima/2716225,Cajamarca,Terminado,1522603800
Cerro,Uruguai - Primera Division,01/04/18 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/uruguai/primera-division/racing/cerro/2724726,Racing,Terminado,1522598400
River Plate,Uruguai - Primera Division,01/04/18 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/uruguai/primera-division/defensor/river-plate-montevideo/2724727,Defensor Sp.,Terminado,1522598400
Atenas,Uruguai - Primera Division,01/04/18 13:00:00,https://www.academiadasapostasbrasil.com/stats/match/uruguai/primera-division/danubio/atenas/2724733,Danubio,Terminado,1522598400
Barcelona II,Espanha - Liga Adelante,01/04/18 04:00:00,https://www.academiadasapostasbrasil.com/stats/match/espanha/liga-adelante/sevilla-ii/barcelona-ii/2531539,Sevilla II,Terminado,1522566000
Granada,Espanha - Liga Adelante,01/04/18 08:00:00,https://www.academiadasapostasbrasil.com/stats/match/espanha/liga-adelante/lorca/granada/2531532,La Hoya Lorca,Terminado,1522580400
Tenerife,Espanha - Liga Adelante,01/04/18 08:00:00,https://www.academiadasapostasbrasil.com/stats/match/espanha/liga-adelante/osasuna/tenerife/2531533,Osasuna,Terminado,1522580400
Gijón,Espanha - Liga Adelante,01/04/18 10:00:00,https://www.academiadasapostasbrasil.com/stats/match/espanha/liga-adelante/almeria/sporting-gijon/2531529,Almería,Terminado,1522587600
Cádiz,Espanha - Liga Adelante,01/04/18 10:00:00,https://www.academiadasapostasbrasil.com/stats/match/espanha/liga-adelante/rayo-vallecano/cadiz/2531537,Vallecano,Terminado,1522587600
Lugo,Espanha - Liga Adelante,01/04/18 12:00:00,https://www.academiadasapostasbrasil.com/stats/match/espanha/liga-adelante/gimnastic/lugo/2531531,Tarragona,Terminado,1522594800
