back_team,countrie,datetime,event_link,home_team,status,timestamp
Palmeiras,América do Sul - Copa Libertadores da América,18/03/20 18:30:00,https://www.academiadasapostasbrasil.com/stats/match/america-do-sul/copa-libertadores-da-america/bolivar/palmeiras/3194978,Bolívar,Adiado,1584567000
Chelsea,Europa - Liga dos Campeões da UEFA,18/03/20 14:00:00,https://www.academiadasapostasbrasil.com/stats/match/europa/liga-dos-campeoes-da-uefa/bayern-munique/chelsea/3194275,Bayern München,Adiado,1584550800
Napoli,Europa - Liga dos Campeões da UEFA,18/03/20 14:00:00,https://www.academiadasapostasbrasil.com/stats/match/europa/liga-dos-campeoes-da-uefa/barcelona/napoli/3194281,Barcelona,Adiado,1584550800
PSG,França - Ligue 1,18/03/20 14:00:00,https://www.academiadasapostasbrasil.com/stats/match/franca/ligue-1/strasbourg/paris-saint-germain/3030818,Strasbourg,Adiado,1584550800
América,América do Sul - Copa Libertadores da América,18/03/20 16:15:00,https://www.academiadasapostasbrasil.com/stats/match/america-do-sul/copa-libertadores-da-america/internacional/america-de-cali/3194891,Internacional,Adiado,1584558900
Nacional,América do Sul - Copa Libertadores da América,18/03/20 16:15:00,https://www.academiadasapostasbrasil.com/stats/match/america-do-sul/copa-libertadores-da-america/racing/nacional-uruguai/3194944,Racing,Adiado,1584558900
Alianza,América do Sul - Copa Libertadores da América,18/03/20 16:15:00,https://www.academiadasapostasbrasil.com/stats/match/america-do-sul/copa-libertadores-da-america/estudiantes-merida/alianza-lima/3194945,Estudiantes,Adiado,1584558900
Grêmio,América do Sul - Copa Libertadores da América,18/03/20 18:30:00,https://www.academiadasapostasbrasil.com/stats/match/america-do-sul/copa-libertadores-da-america/univ-catolica/gremio/3194890,Univ Católica,Adiado,1584567000
Caracas,América do Sul - Copa Libertadores da América,18/03/20 18:30:00,https://www.academiadasapostasbrasil.com/stats/match/america-do-sul/copa-libertadores-da-america/independiente-medellin/caracas/3194924,Medellín,Adiado,1584567000
Boca,América do Sul - Copa Libertadores da América,18/03/20 18:30:00,https://www.academiadasapostasbrasil.com/stats/match/america-do-sul/copa-libertadores-da-america/libertad/boca-juniors/3194954,Libertad,Adiado,1584567000
Botafogo,Brasil - Copa do Brasil,18/03/20 16:15:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/copa-do-brasil/parana-clube/botafogo/3244823,Paraná,Adiado,1584558900
Ceará,Brasil - Copa do Brasil,18/03/20 16:15:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/copa-do-brasil/vitoria/ceara/3244828,Vitória,Adiado,1584558900
Juventude,Brasil - Copa do Brasil,18/03/20 17:00:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/copa-do-brasil/america-rn/juventude/3244824,América RN,Adiado,1584561600
Brasil Pelotas,Brasil - Copa do Brasil,18/03/20 17:30:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/copa-do-brasil/brusque/brasil-de-pelotas/3244827,Brusque,Adiado,1584563400
Cruzeiro,Brasil - Copa do Brasil,18/03/20 18:30:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/copa-do-brasil/crb/cruzeiro/3244826,CRB,Adiado,1584567000
Vasco,Brasil - Copa do Brasil,18/03/20 18:30:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/copa-do-brasil/goias/vasco/3245119,Goiás,Adiado,1584567000
América,Brasil - Carioca 1ª Div,18/03/20 12:00:00,https://www.academiadasapostasbrasil.com/stats/match/brasil/carioca-1-div/americano/america-rj/3237887,Americano,Adiado,1584543600
América,América do Norte e Central - Copa dos Campeões da CONCACAF,18/03/20 18:15:00,https://www.academiadasapostasbrasil.com/stats/match/america-do-norte-e-central/copa-dos-campeoes-da-concacaf/atlanta-united/america-mexico/3240175,Atlanta United,Adiado,1584566100
Los Angeles FC,América do Norte e Central - Copa dos Campeões da CONCACAF,18/03/20 20:30:00,https://www.academiadasapostasbrasil.com/stats/match/america-do-norte-e-central/copa-dos-campeoes-da-concacaf/cruz-azul/los-angeles-fc/3240176,Cruz Azul,Adiado,1584574200
Cagliari,Itália - Serie A TIM,18/03/20 08:00:00,https://www.academiadasapostasbrasil.com/stats/match/italia/serie-a-tim/verona/cagliari/3111940,Verona,Adiado,1584529200
Parma,Itália - Serie A TIM,18/03/20 11:30:00,https://www.academiadasapostasbrasil.com/stats/match/italia/serie-a-tim/torino/parma/3111946,Torino,Adiado,1584541800
Sassuolo,Itália - Serie A TIM,18/03/20 11:30:00,https://www.academiadasapostasbrasil.com/stats/match/italia/serie-a-tim/atalanta/sassuolo/3111948,Atalanta,Adiado,1584541800
Cardiff,Inglaterra - Championship,18/03/20 13:45:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/championship/preston-north-end/cardiff-city/3036491,Preston,Adiado,1584549900
Hull,Inglaterra - Championship,18/03/20 13:45:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/championship/birmingham-city/hull-city/3036493,Birmingham,Adiado,1584549900
Fulham,Inglaterra - Championship,18/03/20 13:45:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/championship/leeds-united/fulham/3036495,Leeds,Adiado,1584549900
Huddersfield,Inglaterra - Championship,18/03/20 13:45:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/championship/nottingham-forest/huddersfield-town/3036496,Nottm Forest,Adiado,1584549900
Luton,Inglaterra - Championship,18/03/20 13:45:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/championship/swansea-city/luton-town/3036501,Swansea,Adiado,1584549900
Blackburn,Inglaterra - Championship,18/03/20 13:45:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/championship/wigan/blackburn-rovers/3036503,Wigan,Adiado,1584549900
Middlesbrough,Inglaterra - Championship,18/03/20 14:00:00,https://www.academiadasapostasbrasil.com/stats/match/inglaterra/championship/stoke/middlesbrough/3036499,Stoke,Adiado,1584550800
Millonarios,Colômbia - Primera División,18/03/20 19:10:00,https://www.academiadasapostasbrasil.com/stats/match/colombia/primera-division/deportivo-cali/millonarios/3206317,Cali,Adiado,1584569400
Ittihad,Egito - Premier League,18/03/20 09:00:00,https://www.academiadasapostasbrasil.com/stats/match/egito/premier-league/el-gounah/al-ittihad/3172442,Gounah,Adiado,1584532800
Ahly,Egito - Premier League,18/03/20 11:30:00,https://www.academiadasapostasbrasil.com/stats/match/egito/premier-league/el-entag-el-harby/al-ahly/3172443,Military,Adiado,1584541800
Legia,Polônia - Puchar Polski,18/03/20 11:00:00,https://www.academiadasapostasbrasil.com/stats/match/polonia/puchar-polski/miedz-legnica/legia-varsovia/3193545,Miedź,Adiado,1584540000
Ural,Rússia - Copa,18/03/20 09:30:00,https://www.academiadasapostasbrasil.com/stats/match/russia/copa/shinnik-yaroslavl/ural/3176057,Shinnik,Adiado,1584534600
Spartak,Sérvia - Super Liga,18/03/20 08:00:00,https://www.academiadasapostasbrasil.com/stats/match/servia/super-liga/inija/spartak-subotica/3030229,Inđija,Adiado,1584529200
Estrela Vermelha,Sérvia - Super Liga,18/03/20 08:30:00,https://www.academiadasapostasbrasil.com/stats/match/servia/super-liga/rad-beograd/estrela-vermelha/3030225,Rad,Adiado,1584531000
Javor,Sérvia - Super Liga,18/03/20 09:00:00,https://www.academiadasapostasbrasil.com/stats/match/servia/super-liga/backa-topola/javor-ivanjica/3030223,Bačka Topola,Adiado,1584532800
Proleter,Sérvia - Super Liga,18/03/20 09:00:00,https://www.academiadasapostasbrasil.com/stats/match/servia/super-liga/radnik-surdulica/proleter-novi-sad/3030224,Radnik,Adiado,1584532800
Radnički Niš,Sérvia - Super Liga,18/03/20 11:00:00,https://www.academiadasapostasbrasil.com/stats/match/servia/super-liga/napredak-krusevac/radnicki-nis/3030226,Napredak,Adiado,1584540000
